CGPA,Human_resources,Instructional_materials,Physical_facilities,Internet_accessibility,Transportation,Security,Students_accomodation,Electricity
2.73,3.5,3.75,3.57,1,3.67,2.67,3.5,2.33
2.83,4.5,3.5,3,2.67,2,3,2,3
2.88,4.17,3.25,3.14,1.67,4,3.33,3,2
2.34,4.83,4.25,4.71,4,3.33,4.67,4,4.33
2.55,3.5,2.75,3,2,4,3,1,2
3.43,5,4.5,2.86,3,4,3,4,2.33
3.48,4,4.5,3.29,2,3.67,4,3.5,1.33
3.33,4.17,4.5,3.57,1,3.67,3.33,3,2
2.42,4.5,2.75,3.71,1,3,4.33,3,3.33
2.28,3.33,3.75,3.71,1,4,3.67,4,3.33
2.71,3.17,4,3.29,1,5,5,2,3
3.57,3.5,3,3.29,1,5,3.67,1,2.33
3.05,3.5,3.25,3,1,4,4,1.5,2.33
3.66,3.67,2.75,3.29,1,5,4,1,3
3.27,4.83,4.25,4.71,4,3.33,4.67,4,4.33
2.59,4.17,3.5,2.57,1,5,4,2,3
2.23,4.17,3.5,3,1,2.67,4.33,1.5,2
2.52,3.5,2.75,2.43,2,3,4,1,2.67
2.5,4.33,3,3.86,2.33,3,2.67,3.5,2.33
3.55,3.83,2.75,3.86,1,4,1.67,2.5,2
2.91,4,2.75,2.57,1,4.33,2.33,4,3
2.18,4,3,2.57,1,5,2,4,3
3.85,4,2.75,2.57,1,4,2.67,3.5,3
2.8,4,2.75,2.57,1,4,2.67,3.5,3
3.05,4,2.75,2.57,1,4,2.67,3.5,3.33
3.67,4,3.25,2.57,2,3,3.33,2.5,3
2.68,4.33,2.75,2.57,1,4,2.67,3.5,3
3,4,2.75,2.57,1,4,2.67,3.5,3
2.9,4,2.75,2.57,1,4,2.67,3.5,3.33
3.01,4,2.75,2.57,1,5,2.67,3,3
3.37,3,2.75,3.29,2.33,4.33,1.67,3,1.67
2.93,3,2.75,3.29,2.67,4.33,1.67,3,1.67
2.15,3,2.75,3.29,2.33,4.33,2.33,2,2.33
3.02,3,2.75,3.29,2.67,4.33,1.67,3,1.67
3.57,3,2.75,3.29,2.33,4.33,1.67,3,1.67
3.43,3,2.75,3.29,2.33,4.33,1.67,3,1.67
3.14,3,2.75,3.29,2.33,4.67,1.67,3,1.67
2.87,3,2.75,3.29,2.33,4.33,1.67,3,1.67
2.03,3,2.75,3.29,2.33,3.67,2.33,3,1.67
2.46,3,2.75,3.29,2.33,4.33,1.67,3,1.67
2.05,3,2.75,3.29,2.33,3.67,2.33,3,1.67
2.57,3,2.75,3.29,2.33,3,2.33,4.5,2.33
2.26,4.5,3,5,1.67,4.67,2.33,1,1
2.23,5,3.25,4,1.67,4.67,2.33,1,1
2,3,2.5,3,2,3,3,2,1.33
3.02,2.83,2,2.43,1,3.67,2,1,2
2.56,4.33,2,3.43,1,2.67,3.67,4,1.67
3.18,3,2.5,2.86,1,3.33,3.67,2.5,1.33
2.18,3,2.5,2.86,1,3.33,3.67,2,1.33
3.25,3.33,3.25,3.57,2,2.67,2.33,3,2
3.85,4.5,3.5,3,1,4,1,4,1
3.24,4.5,3.5,4.43,1,3,2,4.5,4
3.42,5,3.5,4.14,1,4,1,4,4
3.03,3.5,3,4,2.67,3.67,2.33,2.5,1
3.5,3,3,3.57,2.33,1.67,1.67,1.5,2.33
3.26,4.33,3.75,3.86,1.33,2.33,3,4,3
3.12,5,3.25,4.86,3.67,2.33,4,4.5,2.67
3.09,3.5,2.5,2.86,2,3,4,2.5,2.33
3.15,3.83,2.25,3.57,1.33,4,3.33,4,2.33
3.33,3,3.5,3.14,1.67,4,3.33,4,2.33
2.89,3.83,2.25,3.14,2,4,3.33,4,2.67
2.65,4.5,4,4.29,1,4,3,3,3.33
2.3,4.33,2.25,3.71,3.33,2,4.67,4.5,2
2.43,4,3.5,4,1.67,2.33,4,3.5,2.67
2,4,3.25,3.71,2,3.33,4,3,2.67
2.33,4.67,4,3.43,1.33,4.67,3,4.5,2.33
3.33,3.83,3,3.57,1,2.67,4,2.5,2.67
2.32,3.5,3.5,2.43,2.33,4,3.67,3,3.33
3.2,4,3.25,3.71,2,3.33,4,3,2.67
3.1,4.17,2.75,4.14,3,4,4.67,3.5,1
3.59,4,3.75,3.86,2,2.33,3.33,4,2.67
3.61,4.17,3.75,3.86,1,3.67,2,3.5,2
3.75,3.83,2.25,3.86,1.33,4,3.33,4,2.33
2.76,3.67,3.75,3.71,2.67,4.33,3.67,3,2.33
4.23,3.83,2.75,3.29,2,1,2.33,1,2
2.77,2,3.5,3.29,2,2,1.67,2,2.33
2.67,4,4,4.43,1,1.67,4,3.5,2.33
2.8,4.33,5,3.71,1,1,2,2,4
2.56,5,3,3.86,2.33,3,2.33,1.5,2.67
3.58,4.5,4,4.43,1,5,4,3,1.67
3.09,4.17,4,4.71,1,5,4.33,4.5,2.33
2.58,4.33,3.25,4.43,2.33,2,2.67,2.5,2.33
3.25,4.5,3.25,4.57,3,3,3,3,3
3.99,3.17,2.5,3.14,2.67,2.33,3.33,3.5,1.67
4.08,4,2.5,2.86,2.67,4.33,3.33,3,2.33
3.67,3.17,2.75,2.57,1,5,1.67,3,2
3.02,4.33,3.75,4.71,1.67,2,3.67,3.5,2.33
4,3.33,4,3.71,3,3,3.67,2.5,4.33
4.3,3,4,3.29,2,2,2.33,3,3.67
3.59,4.83,4,3.43,3.33,2,3.33,2.5,3.33
3.44,4.5,2.75,2.57,1,2.67,3.33,3,2
3.88,3.33,3.25,2.29,2,4,4.67,3,2
3.04,4,3.5,1.86,1,4,2,3,2
3.69,4,2.75,2.14,2,4,3.33,4,2
2.5,3.83,3,3.14,1.67,3.67,3,4,2
3.9,4.67,2.5,2.57,2,3.33,2,1.5,2
2.33,3.83,2.75,1.57,1,3,4,3.5,2
3.38,4,3.25,3.14,2.33,4,3.67,3,2
2.59,4.17,3.25,2.71,1.33,4,3,3,1
3.39,4.5,3,1.57,1.33,4.67,3.67,3,1
3.55,4.17,2.75,2,1,4.33,3,2.5,1
2.11,3.83,3.5,3.14,1,4.33,3,3.5,1.67
3,3.17,2,3.71,1.33,2.67,2.33,3.5,2.67
3,3.17,2.5,3,2,2,1.67,4.5,3
2.29,2.83,3.25,3,2.33,2,2.33,2,2.67
2.5,3.33,3.75,3.43,3.33,4,1.67,2.5,3
3.53,3.67,3.25,3.86,1.67,2.33,2,3,2
2.22,2.67,3.5,2,4,2,3,2.5,3.33
3.34,4.5,3.5,3.86,5,5,5,2.5,1.33
2.55,4.17,3.5,3.71,5,4.67,5,3.5,1.67
2.87,4,4,4,5,5,5,2,1.33
3.45,5,3.5,4,5,5,5,2,1.67
3.99,4.33,3.75,4.14,2,3.67,4,2.5,2.67
3.47,4.5,3.25,4,1.33,3.33,3.67,2.5,2
3.55,4.5,3.75,4.57,2.33,4.67,3.33,3.5,2
3.68,5,3.75,4.14,1,4.67,4,1,2.33
3.21,3.83,2.5,3,1.33,3.33,3.33,2,3
2.53,4,3.25,4.14,1,4.67,3.33,1.5,1.67
3,4.5,3.75,4.14,4.67,4.67,4.67,3.5,2.67
2.67,4,3.75,5,4.67,4.67,4.67,4,2.33
3.38,3.67,2.5,3.29,1.33,2.67,2,3,1
3.51,3.67,2.25,3.43,2,4.33,3.33,4,3.33
2.63,3.83,2.5,1.43,1.67,2,3.33,2,2.67
2.89,3.33,4,3.71,2,3.67,3.33,2.5,3.67
3.25,3.83,3.25,3.57,1,3.67,3.67,3.5,3.33
3.86,3.5,3.75,3.57,2,3.67,3.33,2.5,4
3.58,3,2.75,3.14,3.33,3.33,3.33,4,3.67
3.57,3.5,2.25,2.71,1,2.33,3.67,4,2.33
3.34,3.83,3,3.29,2,4,3,3,3.67
2.58,3.67,2.5,3.29,2,3.33,2.67,3,3.33
2.98,3.67,2.75,3.29,1,4,3,3,3
2.21,3.83,4,3.71,2,4.33,2.67,4.5,3.67
3.82,3.5,3,2.86,2,3.33,4,2,2.67
3.2,3.83,4.25,2.43,2.33,2.33,2,3,2.33
3.8,4.67,4.25,4,1.67,1.67,2,4.5,2.67
3.52,4.67,3.5,3.86,2.33,2.33,2.67,3.5,3
3.92,3.5,3.75,3,1,1.67,2.67,3,2.33
3.22,4.17,2.5,4,2.33,2.33,3.33,3,2.67
3.9,3.67,3.75,3.86,1,5,4,4,1.33
